מספר הסדנה,שם הסדנה,שם המנחה,תקציר,קהל יעד,אופי הסדנה
17,טיפול מבוסס מנטליזציה וחמלה עצמית במצבי סטרס וטראומה,"ד״ר דנה לסרי, פסיכולוגית קלינית, חברת סגל בכירה בביה״ס לעבודה סוציאלית ולרווחה חברתית, האוניברסיטה העברית, ראשת מעבדת ChARMS לחקר חוויות דחק בילדות, חוסן ורווחה נפשית .","במסגרת הסדנה נלמד עקרונות של טיפול מבוסס מנטליזציה ( MBT) והטמעתם בתהליכים טיפוליים, ובפרט אלו המתרחשים בהקשר של חשיפה לטראומה ולסטרס כרוני (MBT-TF) . מנטליזציה, או תפקודים רפלקטיביים, היא היכולת להעניק משמעות להתנהגותו ולהתנהגות אחרים במושגים של עולם פנימי. היכולת למנטליזציה היא אחת מאבני היסוד של יכולותינו הבין-אישיות, והיא חיונית לתפקוד חברתי, משפחתי ורגשי. מנטליזציה אף נמצאה כגורם מגן המסייע בהתמודדות עם מצבי סטרס משמעותיים. גוף ידע מחקרי נרחב מצביע על כך שמנטליזציה היא מושג מרכזי חוצה-תאוריות וחוצה-אבחנות, המועיל לא רק להבנה תיאורטית של הקשיים שבבסיס הפגיעות להתפתחותה של פסיכופתולוגיה, אלא גם לטיפול בה (2020 ,.Luyten et al). יכולת זו אף מגינה מפני היווצרותן של הפרעות נפשיות רבות. המודל הטיפולי מתבסס על מסגרת תיאורטית אינטגרטיבית המשלבת בין חשיבה דינמית-פסיכואנליטית, מערכתית-משפחתית, קוגניטיבית-התנהגותית ובין תפיסות ביולוגיות-חברתיות ואקולוגיות. טיפול מבוסס מנטליזציה נמצא יעיל בטיפול במגוון רחב של קשיים ובפרט, במצבי סטרס וטראומה, לרבות טראומה מורכבת. בסדנה נלמד ונתרגל כיצד ליישם עבודה קלינית מבוססת מנטליזציה בעבודה עם ילדים, מתבגרים והוריהם ובטיפול זוגי ומשפחתי. בסדנה נעסוק גם בחמלה עצמית בעבודה הטיפולית ונתרגל כלים פרקטיים המסייעים בקידום עמדה חומלת כלפי העצמי. חמלה עצמית, אשר מגלמת בתוכה נדיבות כלפי העצמי, קשיבות ותחושת אנושיות משותפת, נמצאה חיונית בשימור הרווחה הנפשית של מעניקי סיוע ובפרט, בקרב אנשי טיפול העוסקים בטראומה.",כולם.ן,עיוני – טיפול (סדנת למידה בנושאים הקשורים לפסיכותרפיה)
18,לפגוש בכתיבה את מה שמעבר לניסוח - סדנת כתיבה אישית מקצועית,"שבתאי מג'ר, פסיכולוג ייעוצי-תעסוקתי מומחה. קליניקה פרטית. מנחה קבוצות. מלמד ומנחה בהכשרה למקצועות ולעבודה בתחומי הטיפול, ייעוץ, הוראה והדרכה. משורר. פרסם ארבעה ספרי שירה. כותב ועורך מדור סקירת ספרים בכתב העת 'פסיכואקטואליה'. מנחה סדנאות כתיבה. מלווה כותבים ועורך. מתרגל טאי צ'י וצ'י קונג ומשלב מעקרונותיהם.","פסיכולוגים.ות, אנשי כתיבה אישית וחופשית, סופרים ומשוררים, מטפלים ומורים, מצאנו עצמנו מאז התפרצות השביעי באוקטובר מגיבים לכוח הכתיבה. יש מי שאצלם חדל מעיין הכתיבה ונחלש כוח היצירה, ויש מי שפרץ מהם נד של רגשות ותכנים בשטף כתיבה עצום. יש מי שעצרו וביקשו לעצמם שהות לעכל, לעבד ולהירגע ויש מי שמצאו הקלה ותכלית בכתיבה שמביעה את עולמם הפנימי הרוגש. יש מי שהפסיקו לקרוא ספרות ועיון ואחרים נצמדו לקריאה בשקיקה. כתיבה אישית בתקופה הזאת מהווה מרגוע לנפש ובד בבד מקור ומוצא לזעם, תסכול, ייאוש ותקווה. כתיבה ספונטנית, משוחררת, ללא כוונה מוגדרת, וכתיבה מארגנת ומנסחת הרגשות וחוויות עמוקות, שהדיבור הרגיל לפעמים אינו מצליח לבטא. כתיבה בעת הזאת גם משמשת כלי לתקשורת ואמצעי שמאפשר השתתפות, תמיכה וטיפול למי שזקוק להקלה ולהחלמה ממצבי רגש קשים ובלתי נסבלים. סגולה נוספת שמאפשרת כתיבה, ובמסגרת קבוצה במיוחד, היא הש ִהיה והיצירה בתחום הפרטי, ואת השיתוף ההדדי, הלמידה יחד והחוויה המשותפת.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
19,עבודה עם הורים בתהליכי גירושים ובסכסוכי גירושים מורכבי ם,הילי הראל,"""מפגש עם הורים בתהליכי גירושים מהווה אתגר טיפולי ייחודי. זוהי נקודת שבר אישית ומשפחתית בה נדרשים ליווי מקצועי, ידע והכוונה. לצד תהליכים מורכבים וכואבים אך תקינים, ישנה עלייה במפגש עם הורים הנמצאים בסכסוך גירושים גבוהה. רמת קונפליקט גבוהה מביאה עמה התמודדות טיפולית מורכבת הנוגעת להימצאות בתווך שבין שני ההורים, התמודדות עם משבר אישי ומשפחתי, תהליכי בנייה של מציאות חיים חדשה ושונה. זוהי זירה רגישה, סוערת ומורכבת בתוכה נמצא הפסיכולוג בעמדה ייחודית. עמדה זו דורשת הבנה מעמיקה ורחבה פנימה לתוך נפשם של הילדים והוריהם והחוצה לחדירה של המציאות החיצונית לתוך המרחב הטיפולי והנפשי. הסדנה תתמקד בארבעה צירים מרכזיים: •    הילד - המפגש של הילד עם המשפחה שהתפרקה תוך התייחסות לתהליכי התפתחות – נקודת הזמן של הפרידה והשפעות על המשך התפתחות. •    ההורים – תהליכים הוריים נפוצים בעת פרידה והשפעתם על ההתפתחות. •    המטפל – הזדהויות, העברות והשלכות, הקושי בהתמקמות הטיפולית. •    המפגש עם המציאות החיצונית - מערכת בית הספר, רווחה, משטרה ובתי משפט. 1.    מאפייני גירושים: נתמקד בגירושים """"טריים"""", המתרחשים בעת הטיפול או בסמוך לו, הדורשים התייחסות לסוגיות מרכזיות, כגון הבשורה לילדים, הסדרת זמני השהות והשמירה על הקשר עם שני ההורים. בסדנה תוצג גישה התפתחותית ואינטגרטיבית המסייעת למטפל לבחון את הסוגיות העולות בפניו במצב זה בהתאם למאפיינים הייחודיים לכל ילד ומשפחה, כבסיס להמלצות אלו. גישה זו מארגנת את החשיבה הטיפולית מתוך ראייה התפתחותית רחבה, הנותנת למטפל בסיס לחשיבה בעבודתו עם סוגיות מורכבות ורגישות אלו, תוך הגדרת עקרונות מנחים אותם יש להתאים לילד ולמשפחה. 2.    גירושים מורכבים בקונפליקט גבוה: תוצג הייחודיות והמורכבות של מצבים אלו, העמקת ההבנה של התהליכים בהתייחס לארבעת הצירים שהוצגו. בסדנה נעסוק בדילמות שעולות בחדר הטיפולים ובעבודה המערכתית ונתמקד בהבנת הגורמים לסכסוך תוך דיון בסוגיות נפוצות העולות במקרים אלו: ניכור הורי, גזלייטינג, טענות של פגיעה ואלימות. הסדנה מתמקדת בעבודה טיפולית עם הורים במצבים רגשיים סוערים והתמודדות עם מצבי קונפליקט בתוך הטיפול, ומתמקדת בתהליכים דינאמיים המתרחשים בחדר ובחשיבה המערכתית הלוקחת בחשבון מציאות פנימית חיצונית מורכבת.","מתמחים.ות משנה שלישית ואילך, מומחים.ות, בהסמכה להדרכה, מדריכים.ות, מנהלים.ות, בעלי.ות תפקידי מטה ובכירים.ות",עיוני – טיפול (סדנת למידה בנושאים הקשורים לפסיכותרפיה)
20,"שלא נדע - על ההתמודדות עם אי-ודאות, אי-ידיעה וספ ק","רועי סמנה, פסיכולוג קליני מומחה, מרצה ומדריך בתוכנית לפסיכותרפיה של מרכז ויניקוט ובבית-ספר ""תמורות"" לפסיכותרפיה (אונ' בר-אילן). מאמרים וסקירות רבות פרי עטו, פורסמו באתרים ""פסיכולוגיה עברית"" ו""בטיפולנט"" ובכתב-העת ""שיחות"" והוא מכותבי הספר ""למשש את הפיל"" (כרמל, 2019). מטפל במבוגרים ונוער בקליניקה פרטית בתל-אביב.","חוויית אי-הידיעה היא מרכיב מהותי של תחום הפסיכולוגיה החינוכית. פסיכולוגים חינוכיים נדרשים לעיסוק נרחב ומעמיק בתחומים רבים, מגוונים ונבדלים זה מזה ולהתערבות באמצעי פעולה רבים ושונים. לא מפתיע, אם כך, כי לעיתים לא רחוקות מתגנב לליבם החשש שהם פשוט אינם יודעים מספיק. הדרישה לשאת את אי-הידיעה ואת העמימות בסביבה התובעת, לעיתים תכופות, התמודדות עם שינויים בלתי צפויים, היא דרישה מאתגרת, אך גם כזו שמעודדת את הפסיכולוג והפסיכולוגית להביט על השדה החינוכי מזווית חדשה ורעננה לאורך השנים, לפחות אם ברצונם לחוות חוויה מקצועית (ואישית) מספקת. הקושי להישאר במים האפלים, העמוקים לאין-שיעור של אי-הידיעה, עלול להוביל אנשי מקצוע לחפש מקלט באי של ידיעה, המספק אומנם קרקע יציבה אך מלאכותית ובעלת מרחב תנועה מוגבל. גם בחיינו האישיים הקושי לשאת עמימות ואי-בהירות עלול להוביל אותנו לשחק שוב ושוב את אותם תסריטים שחוקים, לשחזר דפוסים ישנים ומוכרים וליפול להנחות מוקדמות אך לא מקדמות, בוודאי בתקופה מורכבת ומלאת אי-ודאות כמו זו שאנו חווים מאז אוקטובר 2023. בסדנה זו נעסוק בהיבטים שונים של חוויות אי-הידיעה, אי-הודאות והספק. בעזרת התנסויות יצירתיות ומשחקיות, ובעיקר על-ידי שיתוף אישי ובינאישי חי , בתחושותינו בכאן ובעכשיו. ננסה לפתח את היכולת להכיל מסתורין, הפתעה וסקרנות, על כל הטוב והמורכב שכרוכים בהם. ננסה להשתמש בקבוצה, המורכבת מזוגות עיניים העשויים לראות אותנו באופנים לא צפויים ומרעננים, לגלות לנו משהו חדש על עצמנו, משהו שאולי לא ידענו עד כה.",כולם.ן,דינמי (דגש על תהליך דינמי אישי וקבוצתי)
21,חדש ! מיינדפולנס וחמלה: איזון רגשי ופיתוח חוסן בזמני אי ודאות בחדר המורים ובחדר הטיפולים,"שני סער, פסיכולוגית חינוכית מומחית, מורה ליוגה, מנחה קבוצות במיינדפולנס וחמלה לקהל הרחב, למורים (""בית הספר הקשוב""), לתלמידים (""מסע הקשב"") ובחדר הטיפולים. עובדת בשפ""ח מעלות- תרשיחא ובקליניקה פרטית בקיבוץ כברי.","תרגולי מיינדפולנס וחמלה נמצאו במחקרי מוח ככלים יעילים להתמודדות עם אתגרי התקופה: הפחתת מתח נפשי ושחיקה, התמודדות עם לחץ ואי ודאות, שיפור יכולות הקשב בעולם טכנולוגי ומציף, שיפור מיומנויות שליטה רגשית, ושיפור מערכת היחסים שלנו עם עצמנו והאחר. כפסיכולוגים אנו מתבקשים פעמים רבות לעזור למטופלים ולצוותי החינוך שאנו מלווים לפתור את ""הבעיה"" ולעזור להם להרגיש טוב יותר. בסדנה זו לא נלמד להרגיש טוב יותר, אלא נלמד איך להיות טובים יותר בלהרגיש. נלמד איך לגלוש על הגלים של הרגשות, גם אלה שקשה לחוות אותם, כמו חרדה, פחד, עצב ואכזבה, מבלי להימנע, להאבק, להכחיש או להדחיק, פעולות שגורמות לסבל רק להתגבר, ונלמד איך להחזיר לעצמנו את השליטה והשלווה לחיינו. תרגולי מיינדפולנס וחמלה מאפשרים להרחיב את החוסן ויכולת ההתמודדות מול המציאות המשתנה תדיר, להגמיש את חופש הבחירה, לפתח דפוסי חשיבה ורגש המטיבים עימנו, והמחוברים למה שחשוב לנו באמת (ברוח ה -ACT) . כפי שכתב ויקטור פרנקל- ""בין גירוי לתגובה ישנו מרחב. במרחב הזה הכוח שלנו לבחור את התגובה. בתגובה שלנו מונחת הצמיחה והחופש שלנו"". הסדנה תכלול שיח ותרגול חוויתי (מיינדפולנס, דמיון מודרך, עבודת גוף ונשימה) המאפשרים תובנות אישיות, יחד עם ידע תיאורטי, גישה וכלים שתוכלו ליישם בקליניקה ובסדנאות ובמפגשים בחדר מורים. נושאי הסדנה: מה זה מיינדפולנס? עקרונות בתרגול הרלוונטיים לעבודה פסיכו-חינוכית. כוחו של הרגע הזה ויציאה מדפוסים אוטומטיים. ויסות מערכת העצבים, שליטה והתמודדות במצבי לחץ ואי ודאות. התמודדות עם רגשות וחוויות לא נעימים. איך להיות ההורה/ המורה/ המטפל.ת שאני רוצה להיות? חיבור לערכים כמפת דרכים לשינוי דפוסי התנהגות מעכבים.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
22,"""ייאוש ותקווה, יד ביד"" מניעת אובדנות ודיכאון - טיפול . IPT-A (פסיכותרפיה בין אישית למתבגרים דיכאוניים)","ז'אק עובדיה, פסיכולוג חינוכי מומחה-מדריך שפ""ח כפר סבא. מדריך-מנחה קבוצות בתוכנית הלאומית למניעת אובדנות, רכז למניעת אובדנות בשפ""ח כפר סבא, מטפל, מדריך IPT-A ובעל קליניקה פרטית.","כיום , מניעת אובדנות הינה חלק בלתי נפרד של עבודת הפסיכולוג.ית החינוכי.ת. אמירות בעלות אופי אובדני כמו ""בא לי למות"" , ""אני רוצה להתאבד"", ואף מעשי התאבדות, מציבים אותנו מול התמודדות מורכבת ומטלטלת, כל פעם מחדש בעבודתנו . בנוסף לקורונה ולמשבר החוקתי, אירועי 07.10 והמלחמה המתמשכת, הגבירו עד מאוד את מצוקת כולם ובמיוחד את מצוקתם של התלמידים ושל צוותי החינוך. המצוקה הקשה והמתמשכת, מכניסה יותר ויותר תלמידים למעגל הסיכון לאובדנות, לירידה בתפקוד, לדיכאון ולחרדות קשות. טיפול ה IPT-A (פסיכותרפיה בין אישית למתבגרים דיכאוניים) המבוסס על תאוריית ההתקשרות, הינו אחד הטיפולים היעילים למניעת אובדנות, דיכאונות וחרדות קשות בקרב ילדים ומתבגרים. בסדנה : -    ניגע בחוויות ההתמודדות מול אובדנות ומול מצוקה גוברת של תלמידים ואנשי צוות ונחדד מיומנויות בהערכות סיכון ובבניית תוכנית ביטחון/ חוסן. -    נעמיק בעקרונות טיפול ה IPT-A ונתרגל כלים ומיומנויות של טיפול. -    נרכוש כלים לוויסות רגשי ולחוסן נפשי. הסדנה הינה חווייתית והתנסותית ומשלבת תרגולים ומשחקי תפקידים. המשתתפים.ות מוזמנים.נות להביא דוגמאות מעבודתם.ן או מחייהם.ן האישיים.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
23,"המנהל.ת כדמות משמעותית לבנית חוסן אישי וארגוני- על ניהול ועבודה עם מנהלים.ות ב""עת הזו""*","משה עוד כהן, פסיכולוג חינוכי מדריך, פסיכולוג קליני מומחה, יועץ ארגוני, מנהל שפ""ח כרמיאל.","מרכיב משמעותי בעבודת הפסיכולוג החינוכי עם בית הספר הוא העבודה עם מנהל.ת בית הספר – ליווי, ייעוץ ותמיכה. בכדי לדעת כיצד ללוות את המנהל.ת בעבודתו יש לדעת מהו ניהול בעיקר בהיבט של ניהול צוות. בעת הזו, המנהל מהווה דמות משמעותית לבניית חוסן ברמה האישית והארגונית וזקוק יותר מתמיד לליווי של פסיכולוג/ית בי""ס. בסדנה נלמד מודל ניהול שקראתי לו מודל ""נימר""ץ"" – ניהול מכוון רגש וצורך. בעזרת מודל זה המצוי בזיקה לניהול הומני נגדיר מהו ניהול, איך ניתן לאפיין את המנהל, מהם צרכי העובד בקשר עם המנהל וכיצד מכוונות לצרכים אלו, מהווה מרכיב משמעותי בבניית חוסן אישי וארגוני (בזיקה לעקרון הרציפות בהתמודדות עם חירום וטראומה). הלמידה בסדנה, מבוססת על רציונל למידה משמעותית, שבה הלומד פעיל ומעורב בדיונים , משחקי תפקידים ומשימות. הסדנה מיועדת לכל מי שעובד עם מנהלים ועם בעלי תפקידים בבתי הספר, בהם נדרשים כישורי ניהול ולמנהלים ובעלי תפקידים בשפ""ח. *""בעת הזו"" - מושג המבטא את איפיוני תקופתנו שהם שונים מיום ליום וממקום למקום-התמודדות עם איום פיזי, כלכלי ונפשי ברמת הפרט, המשפחה והקהילה.",כולם.ן,עיוני – עבודה מערכתית (סדנת למידה בנושאים הקשורים לעבודה מערכתית- חינוכית)
24,חדש! הנחיית קבוצות רגשיות,"גילת עוקב, פסיכולוגית חינוכית מדריכה, סגנית מנהלת השירות הפסיכולוגי בנתניה, בעלת קליניקה פרטית בפרדסיה.","בסדנה נרכוש מיומנויות להנחיית קבוצות רגשיות על פי המודל לטיפול קבוצתי ההבעתי -תמיכתי (Expressive-Supportive Group Psychotherpy), אשר פותח, נחקר והופץ בארץ ע""י פרופ' ציפורה שכטמן. מדובר בטיפול קבוצתי המבוסס על הגישה ההומניסטית בו נעשה שימוש באמצעים חווייתיים ומשחקיים כדי לקדם חוסן ומיטביות על ידי פיתוח ביטוי עצמי, הקשבה לאחר, מתן וקבלת תמיכה, מודעות עצמית, ניהול עצמי, ומיומנויות בינאישיות. בסדנה נכיר את המודל ונפתח מיומנויות להנחיה על פיו, תוך הקניית ידע תיאורטי יחד עם התנסות אישית וחווייתית בקבוצה. נפגוש מושגי יסוד בהנחיית קבוצות כמו שלבי התפתחות הקבוצה, תפקידי המנחה, כוחות תראפויטיים בקבוצה וכד'. נכיר כלים טיפוליים מגוונים, נרכוש מיומנות לשימוש בהם והתאמתם למטרות ולשלב הקבוצתי ונתייחס לשלבים המעשיים ההכרחיים להפעלת המודל בהצלחה במסגרות חינוכיות. קבוצות אלה נחקרו ונמצאו יעילות עבור ילדים המתמודדים עם קשיים מסוגים שונים - לימודיים, משפחתיים, חברתיים והתנהגותיים. בשנים האחרונות זו הייתה אחת התוכניות הרגשיות שנבחרו על ידי בתי ספר רבים לקידום תלמידים במסגרת התוכנית ""מלקויות ללמידה"", וקבוצות רבות הונחו בהצלחה ע""י פסיכולוגים חינוכיים. מודל העבודה מתאים גם עבור מבוגרים, כאשר הדגש בקבוצה הוא על התמודדות והחוסן של המשתתפים עצמם, למשל הורים או מורים, אשר שינוי וצמיחה שלהם מובילים להשפעה חיובית גם על הסובבים אותם. כיון שהתערבות קבוצתית מסוג זה מאפשרת למשתתפים מפגש עם אחרים המתמודדים עם קשיים דומים, ומהווה עבורם הזדמנות למתן וקבלה של תמיכה, למידה הדדית ובניית חוסן, היא מתאימה במיוחד לתקופת המשבר בה אנו נמצאים עבור קבוצות של ילדים להורים המשרתים במילואים, להורים מפונים ועוד.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
25,היכרות עם הלוגותרפיה - טיפול באמצעות מציאת משמעות,"נעמי (י ֶפה) עיני, פסיכולוגית חינוכית ולוגותרפסטית, בעלים ומנכ""ל של ""ויקטור פראנקל-ישראל"".","אם את.ה מחפש.ת משמעות בחייך (או באחת מזירות החיים: הורות, קריירה, זוגיות וכד) ומעוניין.ת להיחשף לגישה אקזיסטנציאליסטית, פשוטה ואנושית למציאת טעם, הגיון ומטרה בחיים ואף לסייע לאחרים במסע כזה, מקומך עמנו בסדנה! הדחף והרצון העמוק ביותר של האדם, על פי ויקטור פראנקל, הוא שאיפה למשמעות. הבנה זו היא המפתח לחיים מעורבים ומספקים והיא הכוח המאפשר לנו להתמודד גם עם סבל ומצוקה, קשים ככל שיהיו. בסדנת ההיכרות עם הלוגותרפיה, יוצע מפגש עם האנושיות שבנו. נקשיב לתחושות תסכול, חוסר מוצא, שעמום וריק קיומי, הנחוות לעיתים על ידינו ועל ידי מטופלנו ונערוך היכרות עם רוח האדם והמפתחות הטמונים בה לתהליך של ריפוי, תקווה, גילוי וצמיחה. הסדנה תקנה ידע תיאורטי בסיסי אודות גישת הלוגותרפיה שפיתח הוגה הדעות, הנוירולוג והפסיכיאטר ויקטור פרנקל (1905-1997), תשרטט את התפתחותה בהשראת ענקים כמו פרויד ואדלר ותציע מבט אבחוני ודרכי התערבות ברות יישום עבורנו ועבור המטופלים שלנו. הסדנה תשלב למידה פעילה, כתיבה, צפייה בסרטונים (גם של פראנקל עצמו), לצד עבודה אישית, זוגית וקבוצתית. במהלכה יוזמנו המשתתפים להתנסות בכלים לוגותרפויטיים*. מיקוד ספציפי יעשה סביב יישומים רלבנטיים של גישת הלוגותרפיה בשדה הפסיכולוגי -חינוכי. הלמידה תתרחש במסגרת קבוצה בטוחה ומכילה של אנשים סקרנים, המחויבים למציאת משמעות . • כלים ומושגים אליהם יחשפו המשתתפים: המשולש הטראגי, המימד הנואטי- רוחני, ערכי המשמעות, שיח סוקראטי, כוונה פרדוקסאלית, ציר המשמעות, רמזי משמעות, דה רפלקסיה, ועוד.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
26,"סמכות חדשה ומשמעותית להורים, למורים וגם לפסיכולוגים","עידן עמיאל, פסיכולוג קליני, מנהל המרפאה לסמכות הורית במרכז שניידר לרפואת ילדים. טל מימון, עו״ס קליני עם התמחות בילדים ונוער, מטפל במרפאה לסמכות הורית במרכז שניידר לרפואת ילדים.","עקרונות הסמכות החדשה שיוצגו בסדנה זו, מאפשרים להורים, מורים ופסיכולוגים להתמודד עם מנעד רחב של התנהגויות ילדים ונוער, החל מתוקפנות ואלימות ועד לדיכאון והימנעות. מושג הסמכות, מגדיר מערכת יחסים בין שתי דמויות שאינן שוות כוח - קרי, מערכת יחסים בין הורה לילד, בין מורה לתלמידה, בין פסיכולוגית למטופל וגם… בין מנחי הסדנה למשתתפיה. לתפיסתנו, בסופו של יום, תפקידה של דמות הסמכות, הוא לבנות מערכת יחסים בה ״הכפופים לסמכותה״, יחושו, רצויים, מובנים ובטוחים. נקודת המוצא של הסדנה, תהיה השאלה כיצד ניתן לממש זאת, תוך בניית נוכחות פרו אקטיבית וסמכותית. במהלך הסדנה, יוצגו טכניקות טיפול, המבוססות על עקרונות הסמכות החדשה (הכרזה, התיישבות, מפגש תומכים, פעולות תיקון ועוד). תוצג התפיסה הקלינית בבסיס כל טכניקה טיפולית ואופן יישומה במרחבים שונים - בבית, בביה״ס ובקליניקה. נעשה שימוש בדוגמאות רבות מהשטח, כולל דוגמאות מעבודה עם משפחות שפונו מבתיהם ואנשי חינוך שבית ספרם קלט מפונים והתמודדו עם שלל האתגרים הכרוכים בכך. כיוון שלטעמנו, הדרך הטובה ביותר ללמידה, עוברת דרך משחק וחוויה, משתתפי הסדנה המעוניינים בכך יוזמנו להתנסות במשחקי תפקידים, שיאפשרו לחוש את מגוון האפשרויות, בכלים שילמדו. האחריות שלך כמשתתפת תהיה לשתף ואולי אף לשחק והאחריות שלנו כמנחים, תהיה לדאוג לכך שיהיה חווייתי, מרתק ומעניין. עקרונות המודל שלנו מכירים בכך, שבתקופתנו, מורכב וקשה יותר להיות דמות סמכות (חדשה), אבל כדמויות אלו, במסגרת הסדנה הנוכחית, אנו מאמינים ומשוכנעים שביחד נצליח.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
27,"חשיבות היכולת הרפלקטיבית בעבודה טיפולית עם הורים, צוותי חינוך והילדים עצמם מודל ""דואט"": טיפול קבוצתי לפיתוח יכולת רפלקטיבית בקרב הורים ואנשי חינוך","פרופ' נעמה עצבה-פוריה, פסיכולוגית התפתחותית מומחית, מדריכה, יו""ר מרכז דואט, המחלקה לפסיכולוגיה, אוניברסיטת בן גוריון בנגב. מטפלת ביחידה הפסיכיאטרית לגיל הרך בסורוקה ובקליניקה פרטית. שמעונה גרודזין-קיסרי, פסיכולוגית חינוכית מומחית. מנהלת שפ״ח אשדוד. רכזת החירום במחוז דרום.","היכולת לרפלקטיביות (המוכרת גם כמנטליזציה) מוגדרת כתהליך פסיכולוגי המצוי בבסיס היכולת להבין את ההתנהגות של העצמי והאחר כמונעת מתוך מצבים מנטאליים. יכולת זו נמצאה קשורה להתקשרות והיא מהווה את הגרעין העיקרי עליו מתפתחים יחסים בין אישיים, ומכאן החשיבות הרבה בעבודה על רפלקטיביות כבר מגיל צעיר. מחקרים מראים כי היכולת לרפלקטיביות מקדמת את התפקוד הקוגניטיבי, החברתי והרגשי של ילדים לאורך זמן, וכי היא משמעותית מאוד בהתמודדות עם מצבי לחץ וקונפליקט ובפיתוח יכולת ויסות. לשם כך, נדרשות הדמויות המשמעותיות בחיי הילדים (כמובן הורים ואנשי חינוך), לפתח יכולת זו בתוכם, ובאינטראקציה עם הילדים. בהתבסס על הבנה זו, פיתחנו את מודל ""דואט"" – טיפול קבוצתי לפיתוח יכולת רפלקטיבית בקרב הורים וצוותי חינוך. מטרת המודל היא לפתח חשיבה ושפה רפלקטיבית בקהילה, בכל המעגלים המשמעותיים הסובבים את הילד. התוכנית לרפלקטיביות היא שיטת התערבות בת 12 מפגשים לעבודה קבוצתית, בה מתרגלים חשיבה ושפה רפלקטיביות סביב נושאים התפתחותיים שונים. מאז ה7.10 מודל דואט קיבל משנה חשיבות בעבודה עם הורים וצוותי חינוך. פיתחנו את מודל חממ""ה (חיזוק המעטפת המגנה ההורית), כמודל שמסייע להורים וצוותי חינוך אשר חוו אירועי טראומתיים ו/או נאלצו לעזוב את בתיהם. העבודה במודל חממ""ה מסייעת להורים להתמקם בחזרה בתפקידם ההורי וכן לבחור כיצד ליצור שיח מחבר עם ילדיהם, נוכח המציאות המורכבת. בסדנה נלמד את העקרונות של העבודה הקבוצתית ונקבל טעימה מהתכנים במודלים השונים. מטרת הסדנה: להעמיק בהבנת התפקיד של היכולת הרפלקטיבית בהתפתחות הנפשית הבריאה של הילדים, ושל הדמויות הטיפוליות. נבחן את האופן בו יכולת זו מתפתחת בתהליכים קבוצתיים. נלמד בסיס תיאורטי לחשיבות היכולת הרפלקטיבית אצל הורים וצוותי חינוך העוסקים בטיפול בילדים, תוך הצגה של ממצאים מחקריים עדכניים. במסגרת הסדנה ייעשה שילוב של למידה באמצעות התנסות אישית - שיתוף של חוויות וידע אישיים, תרגילים אישיים וקבוצתיים, ומשחקי תפקידים. הסדנה תתרום למשתתפים הן בפן המקצועי בעבודתם כפסיכולוגים חינוכיים, תחזק את היכולות הטיפוליות בעבודה עם הורים ועם צוותי חינוך (מטפלות, גננות, מורים, מנהלים), והן בפן האישי, ביכולת להבין את האחרים שסביבם (בראש ובראשונה ילדיהם האישיים) וליצור עמם אינטראקציות מיטיבות. הסדנה מהווה את השלב הראשון (1 level) בהכשרת דואט. שלב א' בהכשרת קבוצות דואט. לאחר הסדנה, יוכלו המשתתפים להעביר קבוצות דואט תוך קבלת הדרכה ממדריכות מוסמכות של המרכז.",כולם.ן,עיוני – טיפול (סדנת למידה בנושאים הקשורים לפסיכותרפיה)
